6516139	 lcollado	node=060	vmem=N/A, maxvmem=N/A	elapsed=18	serial-3.1.x
6516140	 lcollado	node=060	vmem=N/A, maxvmem=N/A	elapsed=18	snow-3.2
6516141	 lcollado	node=055	vmem=N/A, maxvmem=N/A	elapsed=18	multicore-3.2
6516142	 lcollado	node=055	vmem=137.2M, maxvmem=137.2M	elapsed=18	serial-3.2
6516143	 lcollado	node=074	vmem=3.4G, maxvmem=3.4G	elapsed=18	snow-3.2.x
6516144	 lcollado	node=074	vmem=3.4G, maxvmem=3.4G	elapsed=18	multicore-3.2.x
6516145	 lcollado	node=065	vmem=N/A, maxvmem=N/A	elapsed=18	serial-3.2.x
6516146	 lcollado	node=065	vmem=N/A, maxvmem=N/A	elapsed=18	der-snow-3.1.x
6516147	 lcollado	node=054	vmem=N/A, maxvmem=N/A	elapsed=18	der-multicore-3.1.x
6516148	 lcollado	node=054	vmem=N/A, maxvmem=N/A	elapsed=18	der-serial-3.1.x
6516149	 lcollado	node=051	vmem=N/A, maxvmem=N/A	elapsed=18	der-snow-3.2
6516150	 lcollado	node=052	vmem=436.3M, maxvmem=436.3M	elapsed=18	der-multicore-3.2
6516151	 lcollado	node=043	vmem=442.5M, maxvmem=442.5M	elapsed=18	der-serial-3.2
6516152	 lcollado	node=050	vmem=N/A, maxvmem=N/A	elapsed=18	der-snow-3.2.x
6516153	 lcollado	node=075	vmem=N/A, maxvmem=N/A	elapsed=18	der-multicore-3.2.x
6516154	 lcollado	node=061	vmem=N/A, maxvmem=N/A	elapsed=18	der-serial-3.2.x
6516136	 lcollado	node=045	vmem=206.4M, maxvmem=531.4M	elapsed=01:21	logMemory
6516137	 lcollado	node=069	vmem=N/A, maxvmem=N/A	elapsed=21	snow-3.1.x
6516138	 lcollado	node=060	vmem=N/A, maxvmem=N/A	elapsed=21	multicore-3.1.x
6516139	 lcollado	node=060	vmem=N/A, maxvmem=N/A	elapsed=21	serial-3.1.x
6516140	 lcollado	node=060	vmem=N/A, maxvmem=N/A	elapsed=21	snow-3.2
6516141	 lcollado	node=055	vmem=3.3G, maxvmem=3.3G	elapsed=21	multicore-3.2
6516142	 lcollado	node=055	vmem=3.3G, maxvmem=3.3G	elapsed=21	serial-3.2
6516143	 lcollado	node=074	vmem=3.4G, maxvmem=3.4G	elapsed=21	snow-3.2.x
6516144	 lcollado	node=074	vmem=3.4G, maxvmem=3.4G	elapsed=21	multicore-3.2.x
6516145	 lcollado	node=065	vmem=N/A, maxvmem=N/A	elapsed=21	serial-3.2.x
6516146	 lcollado	node=065	vmem=N/A, maxvmem=N/A	elapsed=21	der-snow-3.1.x
6516147	 lcollado	node=054	vmem=N/A, maxvmem=N/A	elapsed=21	der-multicore-3.1.x
6516148	 lcollado	node=054	vmem=N/A, maxvmem=N/A	elapsed=21	der-serial-3.1.x
6516149	 lcollado	node=051	vmem=N/A, maxvmem=N/A	elapsed=21	der-snow-3.2
6516150	 lcollado	node=052	vmem=436.3M, maxvmem=436.3M	elapsed=21	der-multicore-3.2
